idx,date
0,2021-07-15
1,2021-07-29
2,2021-08-12
3,2021-08-26
4,2021-09-09
5,2021-09-23
6,2021-10-07
7,2021-10-21
8,2021-11-04
9,2021-11-18
10,2021-12-02
11,2021-12-16
12,2021-12-30
13,2022-01-13
14,2022-01-27
15,2022-02-10
16,2022-02-24
17,2022-03-10
18,2022-03-24
19,2022-04-07
20,2022-04-21
21,2022-05-05
22,2022-05-19
23,2022-06-02
24,2022-06-16
25,2022-06-30
26,2022-07-14
27,2022-07-28
28,2022-08-11
29,2022-08-25
30,2022-09-08
31,2022-09-22
32,2022-10-06
33,2022-10-20
34,2022-11-03
35,2022-11-17
36,2022-12-01
37,2022-12-15
38,2022-12-29
39,2023-01-12
40,2023-01-26
41,2023-02-09
42,2023-02-23
43,2023-03-09
44,2023-03-23
45,2023-04-06
46,2023-04-20
47,2023-05-04
48,2023-05-18
49,2023-06-01
50,2023-06-15
51,2023-06-29
52,2023-07-13
53,2023-07-27
54,2023-08-10
55,2023-08-24
56,2023-09-07
57,2023-09-21
58,2023-10-05
59,2023-10-19
60,2023-11-02
61,2023-11-16
62,2023-11-30
63,2023-12-14
64,2023-12-28
65,2024-01-11
66,2024-01-25
67,2024-02-08
68,2024-02-22
69,2024-03-07
70,2024-03-21
71,2024-04-04
72,2024-04-18
73,2024-05-02
74,2024-05-16
75,2024-05-30
76,2024-06-13
77,2024-06-27
78,2024-07-11
79,2024-07-25
80,2024-08-08
81,2024-08-22
82,2024-09-05
83,2024-09-19
84,2024-10-03
85,2024-10-17
86,2024-10-31
87,2024-11-14
88,2024-11-28
89,2024-12-12
90,2024-12-26
91,2025-01-09
92,2025-01-23
93,2025-02-06
94,2025-02-20
95,2025-03-06
96,2025-03-20
97,2025-04-03
98,2025-04-17
99,2025-05-01
100,2025-05-15
101,2025-05-29
102,2025-06-12
103,2025-06-26
104,2025-07-10
105,2025-07-24
106,2025-08-07
107,2025-08-21
108,2025-09-04
109,2025-09-18
110,2025-10-02
111,2025-10-16
112,2025-10-30
113,2025-11-13
114,2025-11-27
115,2025-12-11
116,2025-12-25
117,2026-01-08
118,2026-01-22
119,2026-02-05
120,2026-02-19
121,2026-03-05
122,2026-03-19
123,2026-04-02
124,2026-04-16
125,2026-04-30
126,2026-05-14
127,2026-05-28
128,2026-06-11
129,2026-06-25
